lago,observaciones,alta,cianobacteria_promedio,cianobacteria_mediana,baja,alta_pct
Amatitlán,247417,133512,23.247402,13.06044,113905,53.96233888536358
Atitlán,1533769,21238,4.31651,4.071,1512531,1.384693522949023
